Client,Practice Area,Matter Number,Matter Description,Responsible Attorney,Originating Attorney,Billable,Latest Bill,Attorney Name,Role,Practice Group ,Practice Description,Summary ,Area of Expertise,Education,Contact
"Blend Financial, Inc.",,"00107-Blend Financial, Inc.-Series A financing",Series A financing,Adam Forest,Johnny Chen,Yes,3/6/20,,,,,,,,
"Blend Financial, Inc.",,"00486-Blend Financial, Inc.-Series A-3 Financing",Series A-3 Financing,Johnny Chen,Johnny Chen,Yes,6/2/21,,,,,,,,
"Blend Financial, Inc.",,"00491-Blend Financial, Inc.-501(c)(3) organization set up",501(c)(3) organization set up,Johnny Chen,Johnny Chen,Yes,10/4/21,,,,,,,,
"Blend Financial, Inc.",,"00733-Blend Financial, Inc.-Review & Negotiation of Sequoia Reseller Deal & Warrant",Review & Negotiation of Sequoia Reseller Deal & Warrant,Johnny Chen,Johnny Chen,Yes,8/3/21,,,,,,,,
"Blend Financial, Inc.",,"00740-Blend Financial, Inc.-Series B Financing",Series B Financing,Johnny Chen,Johnny Chen,Yes,5/3/22,,,,,,,,
"Blend Financial, Inc.",,"00927-Blend Financial, Inc.-Post Series B Secondary Sale Transactions",Post Series B Secondary Sale Transactions,Johnny Chen,Johnny Chen,Yes,11/5/21,,,,,,,,
"Blend Financial, Inc.",Fintech & Financial Services,"01249-Blend Financial, Inc.-Jellyvision C&D matter",Jellyvision C&D matter,Johnny Chen,Johnny Chen,Yes,3/9/22,,,,,,,,
Josh Stech,,00048-Stech-Equity Arrangements,Equity Arrangements,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,9/7/18,,,,,,,,
Josh Stech,,00104-Stech-Investment syndication,Investment syndication,Adam Forest,Adam Forest,Yes,1/6/20,,,,,,,,
Subspace Inc.,,00051-Subspace Inc.-General Corporate Advisory,General Corporate Advisory,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,9/7/18,,,,,,,,
Modern Treasury Corp.,Corporate & Securities,00053-Modern Treasury Corp.-General Corporate Advisory,General Corporate Advisory,Brian Elliott,Brian Elliott,Yes,5/7/24,,,,,,,,
Modern Treasury Corp.,,00191-Modern Treasury Corp.-Trademark - US TM MODERN TREASURY (& Design),Trademark - US TM MODERN TREASURY (& Design),Adam Forest,Adam Forest,Yes,2/3/22,,,,,,,,
Modern Treasury Corp.,*No Practice Group Selected / Restricted Matter,00438-Modern Treasury Corp.-Trademark - US TM MT Logo,Trademark - US TM MT Logo,Adam Forest,Adam Forest,Yes,2/3/22,,,,,,,,
Modern Treasury Corp.,*No Practice Group Selected / Restricted Matter,00439-Modern Treasury Corp.-Trademark - EU TM MT Logo,Trademark - EU TM MT Logo,Adam Forest,Adam Forest,Yes,3/2/22,,,,,,,,
Modern Treasury Corp.,*No Practice Group Selected / Restricted Matter,00440-Modern Treasury Corp.-Trademark - UK TM MT Logo,Trademark - UK TM MT Logo,Adam Forest,Adam Forest,Yes,11/2/21,,,,,,,,
Modern Treasury Corp.,*No Practice Group Selected / Restricted Matter,00441-Modern Treasury Corp.-Trademark - EU TM MODERN TREASURY (& Design),Trademark - EU TM MODERN TREASURY (& Design),Adam Forest,Adam Forest,Yes,3/2/22,,,,,,,,
Modern Treasury Corp.,*No Practice Group Selected / Restricted Matter,00442-Modern Treasury Corp.-Trademark - UK TM MODERN TREASURY (& Design),Trademark - UK TM MODERN TREASURY (& Design),Adam Forest,Adam Forest,Yes,11/2/21,,,,,,,,
Modern Treasury Corp.,*No Practice Group Selected / Restricted Matter,00443-Modern Treasury Corp.-Trademark - CA TM MT Logo,Trademark - CA TM MT Logo,Adam Forest,Adam Forest,Yes,5/5/21,,,,,,,,
Modern Treasury Corp.,*No Practice Group Selected / Restricted Matter,00444-Modern Treasury Corp.-Trademark - CA TM MODERN TREASURY (& Design),Trademark - CA TM MODERN TREASURY (& Design),Adam Forest,Adam Forest,Yes,3/31/22,,,,,,,,
Modern Treasury Corp.,,01055-Modern Treasury Corp.-Cease and Desist v. Swiss Re,Cease and Desist v. Swiss Re,Adam Forest,Adam Forest,Yes,2/3/22,,,,,,,,
EchoUser,,00058-EchoUser-General Corporate Advisory,General Corporate Advisory,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,10/5/18,,,,,,,,
Visor,,00059-Visor-General Corporate Advisory,General Corporate Advisory,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,12/4/20,,,,,,,,
Ayo Omojola,,00060-Omojola-Review of Venture Fund Docs.,Review of Venture Fund Docs.,Jesse Payne-Johnson,Adam Forest,Yes,12/2/21,,,,,,,,
"Cleary Technologies, Inc. (Old file)",,"00062-Cleary Technologies, Inc.-General Corporate Advisory",General Corporate Advisory,Alexis Klemish,Alexis Klemish,Yes,8/3/20,,,,,,,,
Wayne Ting,,00063-Ting-Review of Employment Documentation,Review of Employment Documentation,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,10/5/18,,,,,,,,
Jonathan Mildenhall,,00066-Mildenhall-YellowHippo & Related Matters,YellowHippo & Related Matters,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,11/2/18,,,,,,,,
JectNYC,,00069-JectNYC-General Corporate Advisory,General Corporate Advisory,Jesse Payne-Johnson,Jesse Payne-Johnson,Yes,4/3/19,,,,,,,,
Project Pegasus Inc.,,00070-Project Pegasus Inc.-State licensing and true lender advice and counsel.,State licensing and true lender advice and counsel.,Adam Forest,Adam Forest,Yes,3/6/19,,,,,,,,
Yury Yakubchyk,,00071-Yakubchyk-General Corporate Advisory,General Corporate Advisory,Johnny Chen,Johnny Chen,Yes,7/2/21,,,,,,,,
"Anglit, Inc.",,"00072-Anglit, Inc.-General product counseling",General product counseling,Adam Forest,Adam Forest,Yes,4/3/19,,,,,,,,
"Almanac Labs, Inc.",,"00073-Almanac Labs, Inc.-IP Advice and Counsel",IP Advice and Counsel,Adam Forest,Adam Forest,Yes,1/6/20,,,,,,,,
"Almanac Labs, Inc.",,"00647-Almanac Labs, Inc.-General corporate",General corporate,Adam Forest,Adam Forest,Yes,4/3/24,,,,,,,,
"Almanac Labs, Inc.",Trademark/Copyright,"03488-Almanac Labs, Inc.-Trademark Portfolio",Trademark Portfolio,James Creedon,Adam Forest,Yes,6/5/24,,,,,,,,
Denise Strack,,00074-Strack-Advice and counsel re internal investigation.,Advice and counsel re internal investigation.,,,Yes,6/4/19,,,,,,,,
Denise Strack,,00078-Strack-Advice and Counsel re Emily Hsi Self-Dealing claim.,Advice and Counsel re Emily Hsi Self-Dealing claim.,Adam Forest,Adam Forest,Yes,6/4/19,,,,,,,,
"Bad Earth, Inc.",,"00076-Bad Earth, Inc.-Series Seed fundraise",Series Seed fundraise,[OLD] Marissa Fox,[OLD] Marissa Fox,Yes,5/3/21,,,,,,,,
"Bad Earth, Inc.",*No Practice Group Selected / Restricted Matter,"00464-Bad Earth, Inc.-Trademark - US TM BAD EARTH",Trademark - US TM BAD EARTH,James Creedon,James Creedon,Yes,4/5/21,,,,,,,,
"Bad Earth, Inc.",,"00468-Bad Earth, Inc.-Bad Earth Foundation",Bad Earth Foundation,Marissa Fox,Marissa Fox,Yes,6/2/21,,,,,,,,
"Bad Earth, Inc.",*No Practice Group Selected / Restricted Matter,"00764-Bad Earth, Inc.-Trademark - US TM BAD EARTH KILLS",Trademark - US TM BAD EARTH KILLS,James Creedon,James Creedon,Yes,2/6/23,,,,,,,,
"Bad Earth, Inc.",*No Practice Group Selected / Restricted Matter,"00765-Bad Earth, Inc.-Cease and Desist - v. Earth, Inc.","Cease and Desist - v. Earth, Inc.",Alandis Brassel,Marissa Fox,Yes,11/2/21,,,,,,,,
Nicholas Tan,,00077-Tan-Bert's Bites Investment,Bert's Bites Investment,Adam Forest,Adam Forest,Yes,10/7/19,,,,,,,,
Wise,,00079-Wise-Outside General Counsel services.,Outside General Counsel services.,Adam Forest,Adam Forest,Yes,12/3/19,,,,,,,,
Logickull,,00080-Logickull-Su commission dispute.,Su commission dispute.,Adam Forest,Adam Forest,Yes,8/5/19,,,,,,,,
BYOS,,00082-BYOS-General Corporate,General Corporate,Adam Forest,Adam Forest,Yes,10/4/20,,,,,,,,
Karat,,00083-Karat-Outside General Counsel,Outside General Counsel,Jessica Jacob,Jessica Jacob,Yes,3/21/20,,,,,,,,
PayForward,,00084-PayForward-2019 BSA Audit,2019 BSA Audit,Adam Forest,Adam Forest,Yes,9/28/20,,,,,,,,
Charactr,,00085-Charactr-Outside GC,Outside GC,Johnny Chen,Johnny Chen,Yes,4/5/22,,,,,,,,
Charactr,*No Practice Group Selected / Restricted Matter,00587-Charactr-Trademark - US TM CHARACTR,Trademark - US TM CHARACTR (Cl. 42),Alandis Brassel,Alandis Brassel,Yes,2/3/22,,,,,,,,
Charactr,Trademark/Copyright,00948-Charactr-Trademark - EU TM CHARACTR:,Trademark - EU TM CHARACTR:,Alandis Brassel,Alandis Brassel,Yes,3/31/22,,,,,,,,
Charactr,Trademark/Copyright,00949-Charactr-Trademark - UK TM CHARACTR:,Trademark - UK TM CHARACTR:,Alandis Brassel,Alandis Brassel,Yes,10/5/22,,,,,,,,
Charactr,Trademark/Copyright,"01056-Charactr-Trademark - US TM CHARACTR (Cl. 9, 36 and 42)","Trademark - US TM CHARACTR (Cl. 9, 36 and 42)",Alandis Brassel,Alandis Brassel,Yes,1/3/22,,,,,,,,
Happenly,,00086-Happenly-SEC Subpoena,SEC Subpoena,,,Yes,9/9/19,,,,,,,,
"Brick Labs, Inc.",,"00087-Brick Labs, Inc.-Early product counseling",Early product counseling,,,Yes,10/7/19,,,,,,,,
"Advance Int'l, Inc.",,"00088-Advance Int'l, Inc.-CES Litigation",CES Litigation,Adam Forest,Adam Forest,Yes,6/29/20,,,,,,,,
"Advance Int'l, Inc.",,"00106-Advance Int'l, Inc.-Brothers Welding / Stockton Pipe litigation.",Brothers Welding / Stockton Pipe litigation.,,,Yes,11/3/20,,,,,,,,
David Reidy,,00089-Reidy-Employment advice,Employment advice,,,Yes,11/5/19,,,,,,,,
Alyson Friedensohn,,00090-Friedensohn-Founder equity rebalancing.,Founder equity rebalancing.,,,Yes,11/6/19,,,,,,,,
Modern Healthcare,,00091-Modern Healthcare-General corporate advice and counsel,General corporate advice and counsel,Adam Forest,Adam Forest,Yes,10/10/19,,,,,,,,
Modern Healthcare,,00094-Modern Healthcare-General corporate advice and counsel.,General corporate advice and counsel.,Adam Forest,Adam Forest,Yes,11/8/19,,,,,,,,
Polly Watts,,00092-Watts-729 W 101 Arbitration,729 W 101 Arbitration,,,Yes,11/5/19,,,,,,,,
Polly Watts,,00116-Watts-Ford v. Maxim,Ford v. Maxim,,,Yes,5/18/20,,,,,,,,
Polly Watts,,00155-Watts-Wedgewood litigation,Wedgewood litigation,Adam Forest,Adam Forest,Yes,10/4/20,,,,,,,,
Heather Cantua,,04949-Cantua-Business Development,Business Development,,,No,,,,,,,,,
Grouparoo,,00095-Grouparoo-Early formation work,Early formation work,Adam Forest,Adam Forest,Yes,6/1/20,,,,,,,,
"Sundae, Inc.",,"00097-Sundae, Inc.-Outside GC",Outside GC,Adam Forest,Adam Forest,Yes,7/8/24,,,,,,,,
"Sundae, Inc.",,"00261-Sundae, Inc.-Seller disputes",Seller disputes,Adam Forest,Adam Forest,Yes,4/5/22,,,,,,,,
"Sundae, Inc.",,"00262-Sundae, Inc.-Dispute with WeWork",Dispute with WeWork,Adam Forest,Adam Forest,Yes,7/2/21,,,,,,,,
"Sundae, Inc.",,"00290-Sundae, Inc.-Sotelo",Sotelo,Adam Forest,Adam Forest,Yes,6/2/21,,,,,,,,
"Sundae, Inc.",,"00345-Sundae, Inc.-Addis",Addis,,Adam Forest,Yes,3/2/21,,,,,,,,
"Sundae, Inc.",*No Practice Group Selected / Restricted Matter,"00704-Sundae, Inc.-Trademark - US TM SUNDAE",Trademark - US TM SUNDAE,Alandis Brassel,Alandis Brassel,Yes,1/3/22,,,,,,,,
Diana Kucer,,00098-Kucer-Transition assistance,Transition assistance,,,Yes,3/6/20,,,,,,,,
Diana Kucer,,00521-Kucer-ChartHop engagement,ChartHop engagement,Jonathan Savar,Jonathan Savar,Yes,4/30/21,,,,,,,,
"Hex Technologies, Inc.",,"00099-Hex Technologies, Inc.-Outside GC",Outside GC,Johnny Chen,Johnny Chen,Yes,7/6/20,,,,,,,,
"Modern Clinics, Inc.",,"00100-Modern Clinics, Inc.-Outside GC",Outside GC,Johnny Chen,Johnny Chen,Yes,10/5/21,,,,,,,,
"Modern Clinics, Inc.",,"00221-Modern Clinics, Inc.-Series A financing",Series A financing,Johnny Chen,Johnny Chen,Yes,9/2/21,,,,,,,,
"Modern Clinics, Inc.",,"00362-Modern Clinics, Inc.-SVB loan work",SVB loan work,Johnny Chen,Johnny Chen,Yes,3/2/21,,,,,,,,
"Modern Clinics, Inc.",,"00420-Modern Clinics, Inc.-Series A+ Extension Financing",Series A+ Extension Financing,Johnny Chen,Johnny Chen,Yes,6/2/21,,,,,,,,
Home Love GP,,00103-Home Love GP-Advice and counsel,Advice and counsel,Adam Forest,Adam Forest,Yes,1/4/24,,,,,,,,
"Brace Software, Inc.",,"00105-Brace Software, Inc.-Outside General Counsel",Outside General Counsel,Adam Forest,Adam Forest,Yes,3/7/22,,,,,,,,
"Purpose Built Investments, LLC",,"00108-Purpose Built Investments, LLC-Ambassador program document set",Ambassador program document set,Adam Forest,Adam Forest,Yes,9/3/20,,,,,,,,
"Purpose Built Investments, LLC",Trademark/Copyright,"00171-Purpose Built Investments, LLC-JUST BE THE BANK trademark",JUST BE THE BANK trademark,Daniel Zlatnik,Adam Forest,Yes,8/6/20,,,,,,,,
"Purpose Built Investments, LLC",,"00172-Purpose Built Investments, LLC-(DO NOT USE) ACCESS/ACCESS INSIDERS trademark - Daniel Zlatnik Flat Fee Work",(DO NOT USE) ACCESS/ACCESS INSIDERS trademark - Daniel Zlatnik Flat Fee Work,Daniel Zlatnik,Adam Forest,Yes,1/4/21,,,,,,,,
"Purpose Built Investments, LLC",Trademark/Copyright,"00180-Purpose Built Investments, LLC-JUST ADD THE ZERO trademark",JUST ADD THE ZERO trademark,Alandis Brassel,Alandis Brassel,No,,,,,,,,,
"Purpose Built Investments, LLC",,"00181-Purpose Built Investments, LLC-THE MONEY GAME trademark",THE MONEY GAME trademark,Alandis Brassel,Alandis Brassel,Yes,1/4/21,,,,,,,,
"Purpose Built Investments, LLC",,"00182-Purpose Built Investments, LLC-Trademark - US TM THE POWER OF 6",Trademark - US TM THE POWER OF 6,Alandis Brassel,Alandis Brassel,Yes,6/2/21,,,,,,,,
"Purpose Built Investments, LLC",,"00185-Purpose Built Investments, LLC-Fund formation of Access Ventures Fund I and the manager Contrarian Capital Management.",Fund formation of Access Ventures Fund I and the manager Contrarian Capital Management.,Christopher Wang,Adam Forest,Yes,2/1/21,,,,,,,,
"Purpose Built Investments, LLC",,"00294-Purpose Built Investments, LLC-Hard money lending operations",Hard money lending operations,,Adam Forest,Yes,10/4/21,,,,,,,,
"Purpose Built Investments, LLC",,"00357-Purpose Built Investments, LLC-Just Be The Bank",Just Be The Bank,,Adam Forest,Yes,6/5/24,,,,,,,,
"Purpose Built Investments, LLC",*No Practice Group Selected / Restricted Matter,"00446-Purpose Built Investments, LLC-Trademark - US TM ACCESS (& Design)",Trademark - US TM ACCESS (& Design),James Creedon,James Creedon,Yes,1/3/22,,,,,,,,
"Purpose Built Investments, LLC",*No Practice Group Selected / Restricted Matter,"00447-Purpose Built Investments, LLC-Trademark - US TM ACCESS INSIDERS",Trademark - US TM ACCESS INSIDERS,James Creedon,James Creedon,Yes,1/3/22,,,,,,,,
"Purpose Built Investments, LLC",Corporate & Securities,"01197-Purpose Built Investments, LLC-General Counsel",General Counsel,Brian Elliott,Brian Elliott,Yes,7/8/24,,,,,,,,
"Purpose Built Investments, LLC",Corporate & Securities,"02056-Purpose Built Investments, LLC-Project 10K Investment",Project 10K Investment,David Reintjes,Adam Forest,Yes,3/6/23,,,,,,,,
Tito Bohrt,,00109-Bohrt-Step One Analytics note dispute,Step One Analytics note dispute,Adam Forest,Adam Forest,Yes,3/6/20,,,,,,,,
Mati Corporation,,00110-Mati Corporation-Pre-Series A financing,Pre-Series A financing,Johnny Chen,Johnny Chen,Yes,8/6/20,,,,,,,,
Mati Corporation,,00130-Mati Corporation-Outside GC,Outside GC,Johnny Chen,Johnny Chen,Yes,11/3/20,,,,,,,,
Okay Software Inc.,,00112-Okay Software Inc.-Outside GC,Outside GC,Amy Duvanich,Amy Duvanich,Yes,10/4/23,,,,,,,,
Safrapay Inc,Real Estate & Land Use,00113-Safrapay Inc-Commercial Contracts,Commercial Contracts,Jessica Jacob,Jessica Jacob,Yes,2/6/20,,,,,,,,
Decent Inc.,,00114-Decent Inc.-Employment Issues,Employment Issues,Jessica Jacob,Jessica Jacob,Yes,2/7/20,,,,,,,,
Decent Inc.,,00598-Decent Inc.-General Commercial and Technology Transactions,General Commercial and Technology Transactions,Alexis Klemish,Alexis Klemish,Yes,6/2/21,,,,,,,,
Decent Inc.,Fintech & Financial Services,01257-Decent Inc.-Outside General Counsel,Outside General Counsel,Jessica Jacob,Jessica Jacob,Yes,4/14/22,,,,,,,,
Center Corporation,,00115-Center Corp.-Outside GC Services,Outside GC Services,Adam Forest,Adam Forest,Yes,7/7/22,,,,,,,,
Center Corporation,Fintech & Financial Services,01343-Center Corporation-Developer Terms,Developer Terms,Adam Forest,Adam Forest,Yes,5/4/22,,,,,,,,
Center Corporation,Corporate & Securities,01403-Center Corporation-Center Pixel Inc. Series Seed Financing,Center Pixel Inc. Series Seed Financing,Lindsey Altmeyer,Adam Forest,Yes,10/5/22,,,,,,,,
Center Corporation,Fintech & Financial Services,01458-Center Corporation-Terms of Service and Privacy Policy,Terms of Service and Privacy Policy,Adam Forest,Adam Forest,Yes,7/7/22,,,,,,,,
Housing Lab,,00117-Housing Lab-Portfolio company general advice and counsel,Portfolio company general advice and counsel,Adam Forest,Adam Forest,Yes,7/3/20,,,,,,,,
PayActiv,,00118-PayActiv-Outside General Counsel,Outside General Counsel,Adam Forest,Adam Forest,Yes,8/3/21,,,,,,,,
PayActiv,,00325-PayActiv-Lending product advice and counsel,Lending product advice and counsel,,Adam Forest,Yes,4/5/21,,,,,,,,
PayActiv,,00489-PayActiv-Employment matters,Employment matters,,Heather Cantua,Yes,7/7/21,,,,,,,,
PayActiv,,00498-PayActiv-State lending statute survey,State lending statute survey,,Heather Cantua,Yes,5/3/21,,,,,,,,
Talent Herder,,00120-Talent Herder-M&A advice and counsel,M&A advice and counsel,Christopher Wang,Johnny Chen,Yes,3/6/20,,,,,,,,
Talent Herder,,00757-Talent Herder-General Corporate Matters,General Corporate Matters,Johnny Chen,Johnny Chen,Yes,5/3/22,,,,,,,,
Paul Hiley,,"00122-Hiley-General Advice: Advice on matters relating to operations, governance, contracts, employment matter, as well as other general issues as they arise, excluding intellectual property matters","General Advice: Advice on matters relating to operations, governance, contracts, employment matter, as well as other general issues as they arise, excluding intellectual property matters",Erin Hiley,Erin Hiley,Yes,9/2/20,,,,,,,,
"DocVocate, Inc.",,00123-DocVocate-General corporate,General corporate,Johnny Chen,Johnny Chen,Yes,7/7/22,,,,,,,,
"DocVocate, Inc.",Corporate & Securities,"01532-DocVocate, Inc.-Representing client in day to day corporate and commercial matters as needed",Representing client in day to day corporate and commercial matters as needed,Amy Duvanich,Amy Duvanich,Yes,10/5/22,,,,,,,,
EvaBot,,00125-EvaBot-General Corporate matters,General Corporate matters,Johnny Chen,Johnny Chen,Yes,6/1/20,,,,,,,,
"Neutron Holdings, Inc. dba Lime",,"00124-Neutron Holdings, Inc. dba Lime-Payments Product Counseling",Payments Product Counseling,Jessica Jacob,Alexis Klemish,Yes,3/3/21,,,,,,,,
"Neutron Holdings, Inc. dba Lime",,"00178-Neutron Holdings, Inc. dba Lime-Commercial Transactions",Commercial Transactions,Alexis Klemish,Alexis Klemish,Yes,9/2/20,,,,,,,,
Knox Company,,00209-Knox Company-General Contracting,General Contracting,Kristen Dayley,Kristen Dayley,Yes,10/5/22,,,,,,,,
Knox Company,Corporate & Securities,04972-Knox Company-Commercial Contracts-PO17074 project code C2306,Commercial Contracts-PO17074 project code C2306,,Kristen Dayley,Yes,7/8/24,,,,,,,,
